Kommune,Timestamp,Recovered
Altomünster,2022-02-10T10:10:03+01:00,848
Bergkirchen,2022-02-10T10:10:03+01:00,890
Dachau,2022-02-10T10:10:03+01:00,6356
Erdweg,2022-02-10T10:10:03+01:00,671
Haimhausen,2022-02-10T10:10:03+01:00,618
Hebertshausen,2022-02-10T10:10:03+01:00,577
Hilgertshausen-Tandern,2022-02-10T10:10:03+01:00,330
Karlsfeld,2022-02-10T10:10:03+01:00,3194
Markt Indersdorf,2022-02-10T10:10:03+01:00,1272
Odelzhausen,2022-02-10T10:10:03+01:00,641
Petershausen,2022-02-10T10:10:03+01:00,688
Pfaffenhofen a.d. Glonn,2022-02-10T10:10:03+01:00,262
Röhrmoos,2022-02-10T10:10:03+01:00,844
Schwabhausen,2022-02-10T10:10:03+01:00,802
Sulzemoos,2022-02-10T10:10:03+01:00,331
Vierkirchen,2022-02-10T10:10:03+01:00,503
Weichs,2022-02-10T10:10:03+01:00,477
