Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-12-21T17:11:54+01:00,229,189
Bergkirchen,2020-12-21T17:11:54+01:00,196,167
Dachau,2020-12-21T17:11:54+01:00,1437,1271
Erdweg,2020-12-21T17:11:54+01:00,149,118
Haimhausen,2020-12-21T17:11:54+01:00,128,115
Hebertshausen,2020-12-21T17:11:54+01:00,94,87
Hilgertshausen-Tandern,2020-12-21T17:11:54+01:00,64,52
Karlsfeld,2020-12-21T17:11:54+01:00,915,786
Markt Indersdorf,2020-12-21T17:11:54+01:00,271,221
Odelzhausen,2020-12-21T17:11:54+01:00,123,116
Petershausen,2020-12-21T17:11:54+01:00,85,80
Pfaffenhofen a.d. Glonn,2020-12-21T17:11:54+01:00,51,43
Röhrmoos,2020-12-21T17:11:54+01:00,200,184
Schwabhausen,2020-12-21T17:11:54+01:00,170,151
Sulzemoos,2020-12-21T17:11:54+01:00,77,69
Vierkirchen,2020-12-21T17:11:54+01:00,80,66
Weichs,2020-12-21T17:11:54+01:00,62,56
