Kommune,Timestamp,Confirmed
Altomünster,2022-06-30T15:14:56+02:00,3323
Bergkirchen,2022-06-30T15:14:56+02:00,3188
Dachau,2022-06-30T15:14:56+02:00,19892
Erdweg,2022-06-30T15:14:56+02:00,2630
Haimhausen,2022-06-30T15:14:56+02:00,2372
Hebertshausen,2022-06-30T15:14:56+02:00,2266
Hilgertshausen-Tandern,2022-06-30T15:14:56+02:00,1315
Karlsfeld,2022-06-30T15:14:56+02:00,9275
Markt Indersdorf,2022-06-30T15:14:56+02:00,4387
Odelzhausen,2022-06-30T15:14:56+02:00,2166
Petershausen,2022-06-30T15:14:56+02:00,2594
Pfaffenhofen a.d. Glonn,2022-06-30T15:14:56+02:00,929
Röhrmoos,2022-06-30T15:14:56+02:00,3014
Schwabhausen,2022-06-30T15:14:56+02:00,2698
Sulzemoos,2022-06-30T15:14:56+02:00,1263
Vierkirchen,2022-06-30T15:14:56+02:00,1833
Weichs,2022-06-30T15:14:56+02:00,1459
