Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-01-11T17:04:59+01:00,259,246
Bergkirchen,2021-01-11T17:04:59+01:00,215,196
Dachau,2021-01-11T17:04:59+01:00,1661,1562
Erdweg,2021-01-11T17:04:59+01:00,178,166
Haimhausen,2021-01-11T17:04:59+01:00,159,147
Hebertshausen,2021-01-11T17:04:59+01:00,112,106
Hilgertshausen-Tandern,2021-01-11T17:04:59+01:00,72,66
Karlsfeld,2021-01-11T17:04:59+01:00,1023,942
Markt Indersdorf,2021-01-11T17:04:59+01:00,304,276
Odelzhausen,2021-01-11T17:04:59+01:00,138,132
Petershausen,2021-01-11T17:04:59+01:00,96,92
Pfaffenhofen a.d. Glonn,2021-01-11T17:04:59+01:00,62,58
Röhrmoos,2021-01-11T17:04:59+01:00,222,200
Schwabhausen,2021-01-11T17:04:59+01:00,195,181
Sulzemoos,2021-01-11T17:04:59+01:00,85,78
Vierkirchen,2021-01-11T17:04:59+01:00,130,95
Weichs,2021-01-11T17:04:59+01:00,88,73
