Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-01-12T17:13:48+01:00,261,247
Bergkirchen,2021-01-12T17:13:48+01:00,215,196
Dachau,2021-01-12T17:13:48+01:00,1668,1570
Erdweg,2021-01-12T17:13:48+01:00,178,166
Haimhausen,2021-01-12T17:13:48+01:00,161,147
Hebertshausen,2021-01-12T17:13:48+01:00,112,106
Hilgertshausen-Tandern,2021-01-12T17:13:48+01:00,73,67
Karlsfeld,2021-01-12T17:13:48+01:00,1026,943
Markt Indersdorf,2021-01-12T17:13:48+01:00,304,277
Odelzhausen,2021-01-12T17:13:48+01:00,138,132
Petershausen,2021-01-12T17:13:48+01:00,99,93
Pfaffenhofen a.d. Glonn,2021-01-12T17:13:48+01:00,62,58
Röhrmoos,2021-01-12T17:13:48+01:00,253,200
Schwabhausen,2021-01-12T17:13:48+01:00,197,181
Sulzemoos,2021-01-12T17:13:48+01:00,87,78
Vierkirchen,2021-01-12T17:13:48+01:00,130,95
Weichs,2021-01-12T17:13:48+01:00,90,74
