Kommune,Timestamp,Recovered
Altomünster,2021-05-13T21:13:25+02:00,140
Bergkirchen,2021-05-13T21:13:25+02:00,142
Dachau,2021-05-13T21:13:25+02:00,782
Erdweg,2021-05-13T21:13:25+02:00,140
Haimhausen,2021-05-13T21:13:25+02:00,63
Hebertshausen,2021-05-13T21:13:25+02:00,101
Hilgertshausen-Tandern,2021-05-13T21:13:25+02:00,66
Karlsfeld,2021-05-13T21:13:25+02:00,349
Markt Indersdorf,2021-05-13T21:13:25+02:00,253
Odelzhausen,2021-05-13T21:13:25+02:00,106
Petershausen,2021-05-13T21:13:25+02:00,143
Pfaffenhofen a.d. Glonn,2021-05-13T21:13:25+02:00,35
Röhrmoos,2021-05-13T21:13:25+02:00,128
Schwabhausen,2021-05-13T21:13:25+02:00,104
Sulzemoos,2021-05-13T21:13:25+02:00,39
Vierkirchen,2021-05-13T21:13:25+02:00,111
Weichs,2021-05-13T21:13:25+02:00,98
