Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-03-23T17:15:09+01:00,315,289
Bergkirchen,2021-03-23T17:15:09+01:00,268,247
Dachau,2021-03-23T17:15:09+01:00,1987,1857
Erdweg,2021-03-23T17:15:09+01:00,230,217
Haimhausen,2021-03-23T17:15:09+01:00,183,173
Hebertshausen,2021-03-23T17:15:09+01:00,141,127
Hilgertshausen-Tandern,2021-03-23T17:15:09+01:00,106,98
Karlsfeld,2021-03-23T17:15:09+01:00,1165,1087
Markt Indersdorf,2021-03-23T17:15:09+01:00,444,360
Odelzhausen,2021-03-23T17:15:09+01:00,192,167
Petershausen,2021-03-23T17:15:09+01:00,162,141
Pfaffenhofen a.d. Glonn,2021-03-23T17:15:09+01:00,76,73
Röhrmoos,2021-03-23T17:15:09+01:00,350,319
Schwabhausen,2021-03-23T17:15:09+01:00,225,215
Sulzemoos,2021-03-23T17:15:09+01:00,100,95
Vierkirchen,2021-03-23T17:15:09+01:00,156,148
Weichs,2021-03-23T17:15:09+01:00,164,138
