Kommune,Timestamp,Recovered
Altomünster,2022-05-23T21:15:06+02:00,3146
Bergkirchen,2022-05-23T21:15:06+02:00,2945
Dachau,2022-05-23T21:15:06+02:00,18208
Erdweg,2022-05-23T21:15:06+02:00,2412
Haimhausen,2022-05-23T21:15:06+02:00,2097
Hebertshausen,2022-05-23T21:15:06+02:00,2027
Hilgertshausen-Tandern,2022-05-23T21:15:06+02:00,1189
Karlsfeld,2022-05-23T21:15:06+02:00,8611
Markt Indersdorf,2022-05-23T21:15:06+02:00,3937
Odelzhausen,2022-05-23T21:15:06+02:00,2018
Petershausen,2022-05-23T21:15:06+02:00,2365
Pfaffenhofen a.d. Glonn,2022-05-23T21:15:06+02:00,834
Röhrmoos,2022-05-23T21:15:06+02:00,2673
Schwabhausen,2022-05-23T21:15:06+02:00,2440
Sulzemoos,2022-05-23T21:15:06+02:00,1186
Vierkirchen,2022-05-23T21:15:06+02:00,1669
Weichs,2022-05-23T21:15:06+02:00,1339
