Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-11-03T17:13:24+01:00,118,106
Bergkirchen,2020-11-03T17:13:24+01:00,99,80
Dachau,2020-11-03T17:13:24+01:00,613,486
Erdweg,2020-11-03T17:13:24+01:00,50,42
Haimhausen,2020-11-03T17:13:24+01:00,52,42
Hebertshausen,2020-11-03T17:13:24+01:00,49,43
Hilgertshausen-Tandern,2020-11-03T17:13:24+01:00,18,17
Karlsfeld,2020-11-03T17:13:24+01:00,328,270
Markt Indersdorf,2020-11-03T17:13:24+01:00,95,80
Odelzhausen,2020-11-03T17:13:24+01:00,56,41
Petershausen,2020-11-03T17:13:24+01:00,46,39
Pfaffenhofen a.d. Glonn,2020-11-03T17:13:24+01:00,18,15
Röhrmoos,2020-11-03T17:13:24+01:00,154,137
Schwabhausen,2020-11-03T17:13:24+01:00,81,58
Sulzemoos,2020-11-03T17:13:24+01:00,27,21
Vierkirchen,2020-11-03T17:13:24+01:00,48,44
Weichs,2020-11-03T17:13:24+01:00,40,32
