Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-04-06T21:30:00+02:00,64,46
Bergkirchen,2020-04-06T21:30:00+02:00,45,34
Dachau,2020-04-06T21:30:00+02:00,120,66
Erdweg,2020-04-06T21:30:00+02:00,20,17
Haimhausen,2020-04-06T21:30:00+02:00,18,9
Hebertshausen,2020-04-06T21:30:00+02:00,10,10
Hilgertshausen-Tandern,2020-04-06T21:30:00+02:00,9,6
Karlsfeld,2020-04-06T21:30:00+02:00,83,39
Markt Indersdorf,2020-04-06T21:30:00+02:00,36,23
Odelzhausen,2020-04-06T21:30:00+02:00,12,4
Petershausen,2020-04-06T21:30:00+02:00,20,14
Pfaffenhofen a.d. Glonn,2020-04-06T21:30:00+02:00,5,2
Röhrmoos,2020-04-06T21:30:00+02:00,36,6
Schwabhausen,2020-04-06T21:30:00+02:00,17,13
Sulzemoos,2020-04-06T21:30:00+02:00,12,6
Vierkirchen,2020-04-06T21:30:00+02:00,9,8
Weichs,2020-04-06T21:30:00+02:00,8,7
