Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-01-19T17:13:10+01:00,263,255
Bergkirchen,2021-01-19T17:13:10+01:00,225,204
Dachau,2021-01-19T17:13:10+01:00,1726,1623
Erdweg,2021-01-19T17:13:10+01:00,182,174
Haimhausen,2021-01-19T17:13:10+01:00,168,156
Hebertshausen,2021-01-19T17:13:10+01:00,116,109
Hilgertshausen-Tandern,2021-01-19T17:13:10+01:00,82,71
Karlsfeld,2021-01-19T17:13:10+01:00,1041,977
Markt Indersdorf,2021-01-19T17:13:10+01:00,322,287
Odelzhausen,2021-01-19T17:13:10+01:00,142,135
Petershausen,2021-01-19T17:13:10+01:00,108,94
Pfaffenhofen a.d. Glonn,2021-01-19T17:13:10+01:00,62,59
Röhrmoos,2021-01-19T17:13:10+01:00,295,212
Schwabhausen,2021-01-19T17:13:10+01:00,205,193
Sulzemoos,2021-01-19T17:13:10+01:00,89,83
Vierkirchen,2021-01-19T17:13:10+01:00,140,117
Weichs,2021-01-19T17:13:10+01:00,102,88
