Kommune,Timestamp,Confirmed
Altomünster,2021-11-04T21:13:23+01:00,507
Bergkirchen,2021-11-04T21:13:23+01:00,470
Dachau,2021-11-04T21:13:23+01:00,3471
Erdweg,2021-11-04T21:13:23+01:00,421
Haimhausen,2021-11-04T21:13:23+01:00,318
Hebertshausen,2021-11-04T21:13:23+01:00,281
Hilgertshausen-Tandern,2021-11-04T21:13:23+01:00,208
Karlsfeld,2021-11-04T21:13:23+01:00,1858
Markt Indersdorf,2021-11-04T21:13:23+01:00,723
Odelzhausen,2021-11-04T21:13:23+01:00,358
Petershausen,2021-11-04T21:13:23+01:00,425
Pfaffenhofen a.d. Glonn,2021-11-04T21:13:23+01:00,119
Röhrmoos,2021-11-04T21:13:23+01:00,511
Schwabhausen,2021-11-04T21:13:23+01:00,410
Sulzemoos,2021-11-04T21:13:23+01:00,179
Vierkirchen,2021-11-04T21:13:23+01:00,303
Weichs,2021-11-04T21:13:23+01:00,263
