Kommune,Timestamp,Recovered
Altomünster,2022-09-27T12:07:53+02:00,3671
Bergkirchen,2022-09-27T12:07:53+02:00,3782
Dachau,2022-09-27T12:07:53+02:00,23449
Erdweg,2022-09-27T12:07:53+02:00,3121
Haimhausen,2022-09-27T12:07:53+02:00,2755
Hebertshausen,2022-09-27T12:07:53+02:00,2725
Hilgertshausen-Tandern,2022-09-27T12:07:53+02:00,1531
Karlsfeld,2022-09-27T12:07:53+02:00,10574
Markt Indersdorf,2022-09-27T12:07:53+02:00,4981
Odelzhausen,2022-09-27T12:07:53+02:00,2504
Petershausen,2022-09-27T12:07:53+02:00,3080
Pfaffenhofen a.d. Glonn,2022-09-27T12:07:53+02:00,1044
Röhrmoos,2022-09-27T12:07:53+02:00,3436
Schwabhausen,2022-09-27T12:07:53+02:00,3162
Sulzemoos,2022-09-27T12:07:53+02:00,1456
Vierkirchen,2022-09-27T12:07:53+02:00,2159
Weichs,2022-09-27T12:07:53+02:00,1688
