Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-01-02T17:15:13+01:00,252,231
Bergkirchen,2021-01-02T17:15:13+01:00,206,191
Dachau,2021-01-02T17:15:13+01:00,1593,1461
Erdweg,2021-01-02T17:15:13+01:00,166,153
Haimhausen,2021-01-02T17:15:13+01:00,148,130
Hebertshausen,2021-01-02T17:15:13+01:00,108,95
Hilgertshausen-Tandern,2021-01-02T17:15:13+01:00,67,63
Karlsfeld,2021-01-02T17:15:13+01:00,983,890
Markt Indersdorf,2021-01-02T17:15:13+01:00,296,265
Odelzhausen,2021-01-02T17:15:13+01:00,134,123
Petershausen,2021-01-02T17:15:13+01:00,94,83
Pfaffenhofen a.d. Glonn,2021-01-02T17:15:13+01:00,58,54
Röhrmoos,2021-01-02T17:15:13+01:00,205,194
Schwabhausen,2021-01-02T17:15:13+01:00,183,167
Sulzemoos,2021-01-02T17:15:13+01:00,81,78
Vierkirchen,2021-01-02T17:15:13+01:00,96,83
Weichs,2021-01-02T17:15:13+01:00,73,63
