Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-11-12T17:15:09+01:00,126,116
Bergkirchen,2020-11-12T17:15:09+01:00,115,92
Dachau,2020-11-12T17:15:09+01:00,757,619
Erdweg,2020-11-12T17:15:09+01:00,60,51
Haimhausen,2020-11-12T17:15:09+01:00,59,52
Hebertshausen,2020-11-12T17:15:09+01:00,60,46
Hilgertshausen-Tandern,2020-11-12T17:15:09+01:00,29,18
Karlsfeld,2020-11-12T17:15:09+01:00,498,327
Markt Indersdorf,2020-11-12T17:15:09+01:00,134,99
Odelzhausen,2020-11-12T17:15:09+01:00,65,55
Petershausen,2020-11-12T17:15:09+01:00,54,44
Pfaffenhofen a.d. Glonn,2020-11-12T17:15:09+01:00,23,18
Röhrmoos,2020-11-12T17:15:09+01:00,160,143
Schwabhausen,2020-11-12T17:15:09+01:00,100,81
Sulzemoos,2020-11-12T17:15:09+01:00,43,26
Vierkirchen,2020-11-12T17:15:09+01:00,52,50
Weichs,2020-11-12T17:15:09+01:00,44,40
