Kommune,Timestamp,Recovered
Altomünster,2021-12-20T21:14:02+01:00,674
Bergkirchen,2021-12-20T21:14:02+01:00,642
Dachau,2021-12-20T21:14:02+01:00,4594
Erdweg,2021-12-20T21:14:02+01:00,530
Haimhausen,2021-12-20T21:14:02+01:00,417
Hebertshausen,2021-12-20T21:14:02+01:00,411
Hilgertshausen-Tandern,2021-12-20T21:14:02+01:00,270
Karlsfeld,2021-12-20T21:14:02+01:00,2346
Markt Indersdorf,2021-12-20T21:14:02+01:00,963
Odelzhausen,2021-12-20T21:14:02+01:00,472
Petershausen,2021-12-20T21:14:02+01:00,530
Pfaffenhofen a.d. Glonn,2021-12-20T21:14:02+01:00,173
Röhrmoos,2021-12-20T21:14:02+01:00,648
Schwabhausen,2021-12-20T21:14:02+01:00,592
Sulzemoos,2021-12-20T21:14:02+01:00,245
Vierkirchen,2021-12-20T21:14:02+01:00,408
Weichs,2021-12-20T21:14:02+01:00,354
