Kommune,Timestamp,Recovered
Altomünster,2021-11-23T12:11:03+01:00,527
Bergkirchen,2021-11-23T12:11:03+01:00,473
Dachau,2021-11-23T12:11:03+01:00,3564
Erdweg,2021-11-23T12:11:03+01:00,429
Haimhausen,2021-11-23T12:11:03+01:00,326
Hebertshausen,2021-11-23T12:11:03+01:00,297
Hilgertshausen-Tandern,2021-11-23T12:11:03+01:00,215
Karlsfeld,2021-11-23T12:11:03+01:00,1852
Markt Indersdorf,2021-11-23T12:11:03+01:00,737
Odelzhausen,2021-11-23T12:11:03+01:00,362
Petershausen,2021-11-23T12:11:03+01:00,434
Pfaffenhofen a.d. Glonn,2021-11-23T12:11:03+01:00,127
Röhrmoos,2021-11-23T12:11:03+01:00,506
Schwabhausen,2021-11-23T12:11:03+01:00,434
Sulzemoos,2021-11-23T12:11:03+01:00,182
Vierkirchen,2021-11-23T12:11:03+01:00,321
Weichs,2021-11-23T12:11:03+01:00,258
