Kommune,Timestamp,Recovered
Altomünster,2021-12-02T21:12:45+01:00,587
Bergkirchen,2021-12-02T21:12:45+01:00,546
Dachau,2021-12-02T21:12:45+01:00,4001
Erdweg,2021-12-02T21:12:45+01:00,464
Haimhausen,2021-12-02T21:12:45+01:00,376
Hebertshausen,2021-12-02T21:12:45+01:00,361
Hilgertshausen-Tandern,2021-12-02T21:12:45+01:00,237
Karlsfeld,2021-12-02T21:12:45+01:00,2074
Markt Indersdorf,2021-12-02T21:12:45+01:00,818
Odelzhausen,2021-12-02T21:12:45+01:00,403
Petershausen,2021-12-02T21:12:45+01:00,461
Pfaffenhofen a.d. Glonn,2021-12-02T21:12:45+01:00,145
Röhrmoos,2021-12-02T21:12:45+01:00,555
Schwabhausen,2021-12-02T21:12:45+01:00,474
Sulzemoos,2021-12-02T21:12:45+01:00,205
Vierkirchen,2021-12-02T21:12:45+01:00,358
Weichs,2021-12-02T21:12:45+01:00,282
