Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-01-21T17:15:27+01:00,266,255
Bergkirchen,2021-01-21T17:15:27+01:00,226,205
Dachau,2021-01-21T17:15:27+01:00,1743,1635
Erdweg,2021-01-21T17:15:27+01:00,187,177
Haimhausen,2021-01-21T17:15:27+01:00,169,158
Hebertshausen,2021-01-21T17:15:27+01:00,116,110
Hilgertshausen-Tandern,2021-01-21T17:15:27+01:00,83,71
Karlsfeld,2021-01-21T17:15:27+01:00,1046,984
Markt Indersdorf,2021-01-21T17:15:27+01:00,328,289
Odelzhausen,2021-01-21T17:15:27+01:00,142,135
Petershausen,2021-01-21T17:15:27+01:00,109,95
Pfaffenhofen a.d. Glonn,2021-01-21T17:15:27+01:00,62,60
Röhrmoos,2021-01-21T17:15:27+01:00,302,219
Schwabhausen,2021-01-21T17:15:27+01:00,206,195
Sulzemoos,2021-01-21T17:15:27+01:00,91,86
Vierkirchen,2021-01-21T17:15:27+01:00,140,123
Weichs,2021-01-21T17:15:27+01:00,105,90
