Kommune,Timestamp,Recovered
Altomünster,2021-07-06T04:47:36+02:00,407
Bergkirchen,2021-07-06T04:47:36+02:00,367
Dachau,2021-07-06T04:47:36+02:00,2534
Erdweg,2021-07-06T04:47:36+02:00,321
Haimhausen,2021-07-06T04:47:36+02:00,227
Hebertshausen,2021-07-06T04:47:36+02:00,221
Hilgertshausen-Tandern,2021-07-06T04:47:36+02:00,151
Karlsfeld,2021-07-06T04:47:36+02:00,1418
Markt Indersdorf,2021-07-06T04:47:36+02:00,571
Odelzhausen,2021-07-06T04:47:36+02:00,246
Petershausen,2021-07-06T04:47:36+02:00,265
Pfaffenhofen a.d. Glonn,2021-07-06T04:47:36+02:00,95
Röhrmoos,2021-07-06T04:47:36+02:00,401
Schwabhausen,2021-07-06T04:47:36+02:00,304
Sulzemoos,2021-07-06T04:47:36+02:00,130
Vierkirchen,2021-07-06T04:47:36+02:00,236
Weichs,2021-07-06T04:47:36+02:00,179
