Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-03-14T17:14:21+01:00,298,281
Bergkirchen,2021-03-14T17:14:21+01:00,257,245
Dachau,2021-03-14T17:14:21+01:00,1894,1834
Erdweg,2021-03-14T17:14:21+01:00,220,212
Haimhausen,2021-03-14T17:14:21+01:00,175,172
Hebertshausen,2021-03-14T17:14:21+01:00,132,126
Hilgertshausen-Tandern,2021-03-14T17:14:21+01:00,102,94
Karlsfeld,2021-03-14T17:14:21+01:00,1134,1058
Markt Indersdorf,2021-03-14T17:14:21+01:00,403,353
Odelzhausen,2021-03-14T17:14:21+01:00,178,164
Petershausen,2021-03-14T17:14:21+01:00,148,138
Pfaffenhofen a.d. Glonn,2021-03-14T17:14:21+01:00,75,73
Röhrmoos,2021-03-14T17:14:21+01:00,336,318
Schwabhausen,2021-03-14T17:14:21+01:00,218,210
Sulzemoos,2021-03-14T17:14:21+01:00,97,95
Vierkirchen,2021-03-14T17:14:21+01:00,151,143
Weichs,2021-03-14T17:14:21+01:00,159,138
