Kommune,Timestamp,Recovered
Altomünster,2021-10-14T21:13:48+02:00,469
Bergkirchen,2021-10-14T21:13:48+02:00,424
Dachau,2021-10-14T21:13:48+02:00,3021
Erdweg,2021-10-14T21:13:48+02:00,384
Haimhausen,2021-10-14T21:13:48+02:00,269
Hebertshausen,2021-10-14T21:13:48+02:00,241
Hilgertshausen-Tandern,2021-10-14T21:13:48+02:00,171
Karlsfeld,2021-10-14T21:13:48+02:00,1646
Markt Indersdorf,2021-10-14T21:13:48+02:00,642
Odelzhausen,2021-10-14T21:13:48+02:00,317
Petershausen,2021-10-14T21:13:48+02:00,317
Pfaffenhofen a.d. Glonn,2021-10-14T21:13:48+02:00,108
Röhrmoos,2021-10-14T21:13:48+02:00,441
Schwabhausen,2021-10-14T21:13:48+02:00,372
Sulzemoos,2021-10-14T21:13:48+02:00,143
Vierkirchen,2021-10-14T21:13:48+02:00,275
Weichs,2021-10-14T21:13:48+02:00,208
