Kommune,Timestamp,Recovered
Altomünster,2021-12-16T21:09:24+01:00,660
Bergkirchen,2021-12-16T21:09:24+01:00,624
Dachau,2021-12-16T21:09:24+01:00,4506
Erdweg,2021-12-16T21:09:24+01:00,521
Haimhausen,2021-12-16T21:09:24+01:00,411
Hebertshausen,2021-12-16T21:09:24+01:00,407
Hilgertshausen-Tandern,2021-12-16T21:09:24+01:00,263
Karlsfeld,2021-12-16T21:09:24+01:00,2306
Markt Indersdorf,2021-12-16T21:09:24+01:00,947
Odelzhausen,2021-12-16T21:09:24+01:00,465
Petershausen,2021-12-16T21:09:24+01:00,514
Pfaffenhofen a.d. Glonn,2021-12-16T21:09:24+01:00,168
Röhrmoos,2021-12-16T21:09:24+01:00,636
Schwabhausen,2021-12-16T21:09:24+01:00,583
Sulzemoos,2021-12-16T21:09:24+01:00,241
Vierkirchen,2021-12-16T21:09:24+01:00,396
Weichs,2021-12-16T21:09:24+01:00,336
