Kommune,Timestamp,Confirmed
Altomünster,2022-02-07T21:13:13+01:00,1202
Bergkirchen,2022-02-07T21:13:13+01:00,1392
Dachau,2022-02-07T21:13:13+01:00,9363
Erdweg,2022-02-07T21:13:13+01:00,1071
Haimhausen,2022-02-07T21:13:13+01:00,965
Hebertshausen,2022-02-07T21:13:13+01:00,873
Hilgertshausen-Tandern,2022-02-07T21:13:13+01:00,436
Karlsfeld,2022-02-07T21:13:13+01:00,4803
Markt Indersdorf,2022-02-07T21:13:13+01:00,1893
Odelzhausen,2022-02-07T21:13:13+01:00,935
Petershausen,2022-02-07T21:13:13+01:00,1018
Pfaffenhofen a.d. Glonn,2022-02-07T21:13:13+01:00,401
Röhrmoos,2022-02-07T21:13:13+01:00,1232
Schwabhausen,2022-02-07T21:13:13+01:00,1124
Sulzemoos,2022-02-07T21:13:13+01:00,465
Vierkirchen,2022-02-07T21:13:13+01:00,707
Weichs,2022-02-07T21:13:13+01:00,726
