Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-11-07T17:14:04+01:00,119,110
Bergkirchen,2020-11-07T17:14:04+01:00,105,86
Dachau,2020-11-07T17:14:04+01:00,659,529
Erdweg,2020-11-07T17:14:04+01:00,55,46
Haimhausen,2020-11-07T17:14:04+01:00,55,47
Hebertshausen,2020-11-07T17:14:04+01:00,54,43
Hilgertshausen-Tandern,2020-11-07T17:14:04+01:00,20,17
Karlsfeld,2020-11-07T17:14:04+01:00,398,288
Markt Indersdorf,2020-11-07T17:14:04+01:00,117,86
Odelzhausen,2020-11-07T17:14:04+01:00,61,48
Petershausen,2020-11-07T17:14:04+01:00,48,43
Pfaffenhofen a.d. Glonn,2020-11-07T17:14:04+01:00,18,16
Röhrmoos,2020-11-07T17:14:04+01:00,156,140
Schwabhausen,2020-11-07T17:14:04+01:00,90,64
Sulzemoos,2020-11-07T17:14:04+01:00,34,22
Vierkirchen,2020-11-07T17:14:04+01:00,51,44
Weichs,2020-11-07T17:14:04+01:00,43,35
