Kommune,Timestamp,Confirmed
Altomünster,2022-10-03T21:12:58+02:00,3736
Bergkirchen,2022-10-03T21:12:58+02:00,3859
Dachau,2022-10-03T21:12:58+02:00,23997
Erdweg,2022-10-03T21:12:58+02:00,3222
Haimhausen,2022-10-03T21:12:58+02:00,2826
Hebertshausen,2022-10-03T21:12:58+02:00,2786
Hilgertshausen-Tandern,2022-10-03T21:12:58+02:00,1552
Karlsfeld,2022-10-03T21:12:58+02:00,10836
Markt Indersdorf,2022-10-03T21:12:58+02:00,5104
Odelzhausen,2022-10-03T21:12:58+02:00,2575
Petershausen,2022-10-03T21:12:58+02:00,3162
Pfaffenhofen a.d. Glonn,2022-10-03T21:12:58+02:00,1077
Röhrmoos,2022-10-03T21:12:58+02:00,3541
Schwabhausen,2022-10-03T21:12:58+02:00,3264
Sulzemoos,2022-10-03T21:12:58+02:00,1493
Vierkirchen,2022-10-03T21:12:58+02:00,2225
Weichs,2022-10-03T21:12:58+02:00,1763
