Kommune,Timestamp,Recovered
Altomünster,2021-11-01T21:11:01+01:00,483
Bergkirchen,2021-11-01T21:11:01+01:00,431
Dachau,2021-11-01T21:11:01+01:00,3168
Erdweg,2021-11-01T21:11:01+01:00,400
Haimhausen,2021-11-01T21:11:01+01:00,284
Hebertshausen,2021-11-01T21:11:01+01:00,247
Hilgertshausen-Tandern,2021-11-01T21:11:01+01:00,187
Karlsfeld,2021-11-01T21:11:01+01:00,1700
Markt Indersdorf,2021-11-01T21:11:01+01:00,653
Odelzhausen,2021-11-01T21:11:01+01:00,338
Petershausen,2021-11-01T21:11:01+01:00,389
Pfaffenhofen a.d. Glonn,2021-11-01T21:11:01+01:00,112
Röhrmoos,2021-11-01T21:11:01+01:00,465
Schwabhausen,2021-11-01T21:11:01+01:00,385
Sulzemoos,2021-11-01T21:11:01+01:00,151
Vierkirchen,2021-11-01T21:11:01+01:00,285
Weichs,2021-11-01T21:11:01+01:00,215
