Kommune,Timestamp,Confirmed
Altomünster,2022-03-28T21:14:59+02:00,2594
Bergkirchen,2022-03-28T21:14:59+02:00,2480
Dachau,2022-03-28T21:14:59+02:00,15292
Erdweg,2022-03-28T21:14:59+02:00,1906
Haimhausen,2022-03-28T21:14:59+02:00,1663
Hebertshausen,2022-03-28T21:14:59+02:00,1642
Hilgertshausen-Tandern,2022-03-28T21:14:59+02:00,935
Karlsfeld,2022-03-28T21:14:59+02:00,7558
Markt Indersdorf,2022-03-28T21:14:59+02:00,3249
Odelzhausen,2022-03-28T21:14:59+02:00,1715
Petershausen,2022-03-28T21:14:59+02:00,1931
Pfaffenhofen a.d. Glonn,2022-03-28T21:14:59+02:00,664
Röhrmoos,2022-03-28T21:14:59+02:00,2177
Schwabhausen,2022-03-28T21:14:59+02:00,1916
Sulzemoos,2022-03-28T21:14:59+02:00,937
Vierkirchen,2022-03-28T21:14:59+02:00,1314
Weichs,2022-03-28T21:14:59+02:00,1153
