Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-03-04T17:15:22+01:00,290,278
Bergkirchen,2021-03-04T17:15:22+01:00,253,241
Dachau,2021-03-04T17:15:22+01:00,1860,1812
Erdweg,2021-03-04T17:15:22+01:00,219,207
Haimhausen,2021-03-04T17:15:22+01:00,172,171
Hebertshausen,2021-03-04T17:15:22+01:00,128,125
Hilgertshausen-Tandern,2021-03-04T17:15:22+01:00,96,89
Karlsfeld,2021-03-04T17:15:22+01:00,1104,1054
Markt Indersdorf,2021-03-04T17:15:22+01:00,370,349
Odelzhausen,2021-03-04T17:15:22+01:00,168,162
Petershausen,2021-03-04T17:15:22+01:00,141,135
Pfaffenhofen a.d. Glonn,2021-03-04T17:15:22+01:00,74,72
Röhrmoos,2021-03-04T17:15:22+01:00,333,316
Schwabhausen,2021-03-04T17:15:22+01:00,214,210
Sulzemoos,2021-03-04T17:15:22+01:00,96,95
Vierkirchen,2021-03-04T17:15:22+01:00,146,140
Weichs,2021-03-04T17:15:22+01:00,160,137
