Kommune,Timestamp,Recovered
Altomünster,2022-10-24T21:14:21+02:00,3890
Bergkirchen,2022-10-24T21:14:21+02:00,4066
Dachau,2022-10-24T21:14:21+02:00,25193
Erdweg,2022-10-24T21:14:21+02:00,3363
Haimhausen,2022-10-24T21:14:21+02:00,3007
Hebertshausen,2022-10-24T21:14:21+02:00,2923
Hilgertshausen-Tandern,2022-10-24T21:14:21+02:00,1652
Karlsfeld,2022-10-24T21:14:21+02:00,11221
Markt Indersdorf,2022-10-24T21:14:21+02:00,5372
Odelzhausen,2022-10-24T21:14:21+02:00,2743
Petershausen,2022-10-24T21:14:21+02:00,3377
Pfaffenhofen a.d. Glonn,2022-10-24T21:14:21+02:00,1148
Röhrmoos,2022-10-24T21:14:21+02:00,3748
Schwabhausen,2022-10-24T21:14:21+02:00,3443
Sulzemoos,2022-10-24T21:14:21+02:00,1578
Vierkirchen,2022-10-24T21:14:21+02:00,2354
Weichs,2022-10-24T21:14:21+02:00,1840
