Kommune,Timestamp,Confirmed
Altomünster,2021-11-01T21:11:01+01:00,501
Bergkirchen,2021-11-01T21:11:01+01:00,461
Dachau,2021-11-01T21:11:01+01:00,3370
Erdweg,2021-11-01T21:11:01+01:00,415
Haimhausen,2021-11-01T21:11:01+01:00,309
Hebertshausen,2021-11-01T21:11:01+01:00,275
Hilgertshausen-Tandern,2021-11-01T21:11:01+01:00,199
Karlsfeld,2021-11-01T21:11:01+01:00,1819
Markt Indersdorf,2021-11-01T21:11:01+01:00,704
Odelzhausen,2021-11-01T21:11:01+01:00,355
Petershausen,2021-11-01T21:11:01+01:00,421
Pfaffenhofen a.d. Glonn,2021-11-01T21:11:01+01:00,116
Röhrmoos,2021-11-01T21:11:01+01:00,507
Schwabhausen,2021-11-01T21:11:01+01:00,400
Sulzemoos,2021-11-01T21:11:01+01:00,175
Vierkirchen,2021-11-01T21:11:01+01:00,299
Weichs,2021-11-01T21:11:01+01:00,256
