Kommune,Timestamp,Recovered
Altomünster,2021-10-11T21:14:28+02:00,462
Bergkirchen,2021-10-11T21:14:28+02:00,424
Dachau,2021-10-11T21:14:28+02:00,2998
Erdweg,2021-10-11T21:14:28+02:00,377
Haimhausen,2021-10-11T21:14:28+02:00,267
Hebertshausen,2021-10-11T21:14:28+02:00,239
Hilgertshausen-Tandern,2021-10-11T21:14:28+02:00,169
Karlsfeld,2021-10-11T21:14:28+02:00,1628
Markt Indersdorf,2021-10-11T21:14:28+02:00,639
Odelzhausen,2021-10-11T21:14:28+02:00,308
Petershausen,2021-10-11T21:14:28+02:00,309
Pfaffenhofen a.d. Glonn,2021-10-11T21:14:28+02:00,107
Röhrmoos,2021-10-11T21:14:28+02:00,434
Schwabhausen,2021-10-11T21:14:28+02:00,369
Sulzemoos,2021-10-11T21:14:28+02:00,139
Vierkirchen,2021-10-11T21:14:28+02:00,270
Weichs,2021-10-11T21:14:28+02:00,206
