Kommune,Timestamp,Recovered
Altomünster,2022-10-05T17:12:37+02:00,3716
Bergkirchen,2022-10-05T17:12:37+02:00,3838
Dachau,2022-10-05T17:12:37+02:00,23855
Erdweg,2022-10-05T17:12:37+02:00,3198
Haimhausen,2022-10-05T17:12:37+02:00,2814
Hebertshausen,2022-10-05T17:12:37+02:00,2772
Hilgertshausen-Tandern,2022-10-05T17:12:37+02:00,1548
Karlsfeld,2022-10-05T17:12:37+02:00,10733
Markt Indersdorf,2022-10-05T17:12:37+02:00,5058
Odelzhausen,2022-10-05T17:12:37+02:00,2555
Petershausen,2022-10-05T17:12:37+02:00,3148
Pfaffenhofen a.d. Glonn,2022-10-05T17:12:37+02:00,1066
Röhrmoos,2022-10-05T17:12:37+02:00,3506
Schwabhausen,2022-10-05T17:12:37+02:00,3242
Sulzemoos,2022-10-05T17:12:37+02:00,1486
Vierkirchen,2022-10-05T17:12:37+02:00,2217
Weichs,2022-10-05T17:12:37+02:00,1729
