Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-08-23T23:55:00+02:00,92,91
Bergkirchen,2020-08-23T23:55:00+02:00,72,66
Dachau,2020-08-23T23:55:00+02:00,272,252
Erdweg,2020-08-23T23:55:00+02:00,33,31
Haimhausen,2020-08-23T23:55:00+02:00,29,29
Hebertshausen,2020-08-23T23:55:00+02:00,30,28
Hilgertshausen-Tandern,2020-08-23T23:55:00+02:00,14,14
Karlsfeld,2020-08-23T23:55:00+02:00,171,154
Markt Indersdorf,2020-08-23T23:55:00+02:00,69,60
Odelzhausen,2020-08-23T23:55:00+02:00,24,19
Petershausen,2020-08-23T23:55:00+02:00,32,30
Pfaffenhofen a.d. Glonn,2020-08-23T23:55:00+02:00,9,8
Röhrmoos,2020-08-23T23:55:00+02:00,115,108
Schwabhausen,2020-08-23T23:55:00+02:00,33,29
Sulzemoos,2020-08-23T23:55:00+02:00,13,12
Vierkirchen,2020-08-23T23:55:00+02:00,35,34
Weichs,2020-08-23T23:55:00+02:00,25,21
