Kommune,Timestamp,Recovered
Altomünster,2022-01-03T21:12:45+01:00,710
Bergkirchen,2022-01-03T21:12:45+01:00,675
Dachau,2022-01-03T21:12:45+01:00,4887
Erdweg,2022-01-03T21:12:45+01:00,553
Haimhausen,2022-01-03T21:12:45+01:00,442
Hebertshausen,2022-01-03T21:12:45+01:00,444
Hilgertshausen-Tandern,2022-01-03T21:12:45+01:00,284
Karlsfeld,2022-01-03T21:12:45+01:00,2463
Markt Indersdorf,2022-01-03T21:12:45+01:00,1005
Odelzhausen,2022-01-03T21:12:45+01:00,498
Petershausen,2022-01-03T21:12:45+01:00,565
Pfaffenhofen a.d. Glonn,2022-01-03T21:12:45+01:00,196
Röhrmoos,2022-01-03T21:12:45+01:00,702
Schwabhausen,2022-01-03T21:12:45+01:00,645
Sulzemoos,2022-01-03T21:12:45+01:00,258
Vierkirchen,2022-01-03T21:12:45+01:00,428
Weichs,2022-01-03T21:12:45+01:00,392
