Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-02-09T17:14:47+01:00,278,268
Bergkirchen,2021-02-09T17:14:47+01:00,245,225
Dachau,2021-02-09T17:14:47+01:00,1803,1760
Erdweg,2021-02-09T17:14:47+01:00,187,186
Haimhausen,2021-02-09T17:14:47+01:00,171,167
Hebertshausen,2021-02-09T17:14:47+01:00,125,121
Hilgertshausen-Tandern,2021-02-09T17:14:47+01:00,88,87
Karlsfeld,2021-02-09T17:14:47+01:00,1081,1013
Markt Indersdorf,2021-02-09T17:14:47+01:00,354,329
Odelzhausen,2021-02-09T17:14:47+01:00,146,139
Petershausen,2021-02-09T17:14:47+01:00,133,121
Pfaffenhofen a.d. Glonn,2021-02-09T17:14:47+01:00,68,63
Röhrmoos,2021-02-09T17:14:47+01:00,325,299
Schwabhausen,2021-02-09T17:14:47+01:00,210,207
Sulzemoos,2021-02-09T17:14:47+01:00,95,89
Vierkirchen,2021-02-09T17:14:47+01:00,143,140
Weichs,2021-02-09T17:14:47+01:00,155,102
