Kommune,Timestamp,Confirmed
Altomünster,2022-01-13T21:14:27+01:00,787
Bergkirchen,2022-01-13T21:14:27+01:00,776
Dachau,2022-01-13T21:14:27+01:00,5666
Erdweg,2022-01-13T21:14:27+01:00,592
Haimhausen,2022-01-13T21:14:27+01:00,514
Hebertshausen,2022-01-13T21:14:27+01:00,517
Hilgertshausen-Tandern,2022-01-13T21:14:27+01:00,307
Karlsfeld,2022-01-13T21:14:27+01:00,2836
Markt Indersdorf,2022-01-13T21:14:27+01:00,1114
Odelzhausen,2022-01-13T21:14:27+01:00,578
Petershausen,2022-01-13T21:14:27+01:00,634
Pfaffenhofen a.d. Glonn,2022-01-13T21:14:27+01:00,227
Röhrmoos,2022-01-13T21:14:27+01:00,773
Schwabhausen,2022-01-13T21:14:27+01:00,730
Sulzemoos,2022-01-13T21:14:27+01:00,300
Vierkirchen,2022-01-13T21:14:27+01:00,461
Weichs,2022-01-13T21:14:27+01:00,448
