Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-11-04T17:15:17+01:00,118,106
Bergkirchen,2020-11-04T17:15:17+01:00,102,81
Dachau,2020-11-04T17:15:17+01:00,630,495
Erdweg,2020-11-04T17:15:17+01:00,53,44
Haimhausen,2020-11-04T17:15:17+01:00,52,45
Hebertshausen,2020-11-04T17:15:17+01:00,49,43
Hilgertshausen-Tandern,2020-11-04T17:15:17+01:00,19,17
Karlsfeld,2020-11-04T17:15:17+01:00,342,273
Markt Indersdorf,2020-11-04T17:15:17+01:00,100,84
Odelzhausen,2020-11-04T17:15:17+01:00,57,42
Petershausen,2020-11-04T17:15:17+01:00,46,39
Pfaffenhofen a.d. Glonn,2020-11-04T17:15:17+01:00,18,15
Röhrmoos,2020-11-04T17:15:17+01:00,155,137
Schwabhausen,2020-11-04T17:15:17+01:00,86,58
Sulzemoos,2020-11-04T17:15:17+01:00,30,21
Vierkirchen,2020-11-04T17:15:17+01:00,49,44
Weichs,2020-11-04T17:15:17+01:00,43,32
