Kommune,Timestamp,Confirmed
Altomünster,2022-08-23T09:10:50+02:00,3602
Bergkirchen,2022-08-23T09:10:50+02:00,3617
Dachau,2022-08-23T09:10:50+02:00,22550
Erdweg,2022-08-23T09:10:50+02:00,2998
Haimhausen,2022-08-23T09:10:50+02:00,2654
Hebertshausen,2022-08-23T09:10:50+02:00,2600
Hilgertshausen-Tandern,2022-08-23T09:10:50+02:00,1485
Karlsfeld,2022-08-23T09:10:50+02:00,10377
Markt Indersdorf,2022-08-23T09:10:50+02:00,4836
Odelzhausen,2022-08-23T09:10:50+02:00,2395
Petershausen,2022-08-23T09:10:50+02:00,2981
Pfaffenhofen a.d. Glonn,2022-08-23T09:10:50+02:00,1012
Röhrmoos,2022-08-23T09:10:50+02:00,3289
Schwabhausen,2022-08-23T09:10:50+02:00,3043
Sulzemoos,2022-08-23T09:10:50+02:00,1415
Vierkirchen,2022-08-23T09:10:50+02:00,2084
Weichs,2022-08-23T09:10:50+02:00,1636
