Kommune,Timestamp,Recovered
Altomünster,2021-09-06T21:12:03+02:00,419
Bergkirchen,2021-09-06T21:12:03+02:00,391
Dachau,2021-09-06T21:12:03+02:00,2653
Erdweg,2021-09-06T21:12:03+02:00,339
Haimhausen,2021-09-06T21:12:03+02:00,235
Hebertshausen,2021-09-06T21:12:03+02:00,228
Hilgertshausen-Tandern,2021-09-06T21:12:03+02:00,158
Karlsfeld,2021-09-06T21:12:03+02:00,1461
Markt Indersdorf,2021-09-06T21:12:03+02:00,593
Odelzhausen,2021-09-06T21:12:03+02:00,250
Petershausen,2021-09-06T21:12:03+02:00,275
Pfaffenhofen a.d. Glonn,2021-09-06T21:12:03+02:00,96
Röhrmoos,2021-09-06T21:12:03+02:00,417
Schwabhausen,2021-09-06T21:12:03+02:00,347
Sulzemoos,2021-09-06T21:12:03+02:00,135
Vierkirchen,2021-09-06T21:12:03+02:00,251
Weichs,2021-09-06T21:12:03+02:00,190
