Kommune,Timestamp,Recovered
Altomünster,2022-06-20T21:15:07+02:00,3261
Bergkirchen,2022-06-20T21:15:07+02:00,3095
Dachau,2022-06-20T21:15:07+02:00,19147
Erdweg,2022-06-20T21:15:07+02:00,2555
Haimhausen,2022-06-20T21:15:07+02:00,2265
Hebertshausen,2022-06-20T21:15:07+02:00,2159
Hilgertshausen-Tandern,2022-06-20T21:15:07+02:00,1270
Karlsfeld,2022-06-20T21:15:07+02:00,8932
Markt Indersdorf,2022-06-20T21:15:07+02:00,4238
Odelzhausen,2022-06-20T21:15:07+02:00,2110
Petershausen,2022-06-20T21:15:07+02:00,2495
Pfaffenhofen a.d. Glonn,2022-06-20T21:15:07+02:00,897
Röhrmoos,2022-06-20T21:15:07+02:00,2884
Schwabhausen,2022-06-20T21:15:07+02:00,2628
Sulzemoos,2022-06-20T21:15:07+02:00,1228
Vierkirchen,2022-06-20T21:15:07+02:00,1785
Weichs,2022-06-20T21:15:07+02:00,1392
