Kommune,Timestamp,Confirmed
Altomünster,2022-04-04T21:14:53+02:00,2735
Bergkirchen,2022-04-04T21:14:53+02:00,2597
Dachau,2022-04-04T21:14:53+02:00,16108
Erdweg,2022-04-04T21:14:53+02:00,2023
Haimhausen,2022-04-04T21:14:53+02:00,1746
Hebertshausen,2022-04-04T21:14:53+02:00,1734
Hilgertshausen-Tandern,2022-04-04T21:14:53+02:00,990
Karlsfeld,2022-04-04T21:14:53+02:00,7823
Markt Indersdorf,2022-04-04T21:14:53+02:00,3396
Odelzhausen,2022-04-04T21:14:53+02:00,1789
Petershausen,2022-04-04T21:14:53+02:00,2018
Pfaffenhofen a.d. Glonn,2022-04-04T21:14:53+02:00,691
Röhrmoos,2022-04-04T21:14:53+02:00,2297
Schwabhausen,2022-04-04T21:14:53+02:00,2038
Sulzemoos,2022-04-04T21:14:53+02:00,1004
Vierkirchen,2022-04-04T21:14:53+02:00,1372
Weichs,2022-04-04T21:14:53+02:00,1187
