Kommune,Timestamp,Recovered
Altomünster,2021-09-13T21:13:35+02:00,423
Bergkirchen,2021-09-13T21:13:35+02:00,412
Dachau,2021-09-13T21:13:35+02:00,2716
Erdweg,2021-09-13T21:13:35+02:00,345
Haimhausen,2021-09-13T21:13:35+02:00,238
Hebertshausen,2021-09-13T21:13:35+02:00,229
Hilgertshausen-Tandern,2021-09-13T21:13:35+02:00,158
Karlsfeld,2021-09-13T21:13:35+02:00,1505
Markt Indersdorf,2021-09-13T21:13:35+02:00,597
Odelzhausen,2021-09-13T21:13:35+02:00,252
Petershausen,2021-09-13T21:13:35+02:00,288
Pfaffenhofen a.d. Glonn,2021-09-13T21:13:35+02:00,96
Röhrmoos,2021-09-13T21:13:35+02:00,419
Schwabhausen,2021-09-13T21:13:35+02:00,356
Sulzemoos,2021-09-13T21:13:35+02:00,137
Vierkirchen,2021-09-13T21:13:35+02:00,258
Weichs,2021-09-13T21:13:35+02:00,197
