Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-05-07T21:30:00+02:00,85,83
Bergkirchen,2020-05-07T21:30:00+02:00,64,58
Dachau,2020-05-07T21:30:00+02:00,203,190
Erdweg,2020-05-07T21:30:00+02:00,27,25
Haimhausen,2020-05-07T21:30:00+02:00,27,25
Hebertshausen,2020-05-07T21:30:00+02:00,27,27
Hilgertshausen-Tandern,2020-05-07T21:30:00+02:00,13,12
Karlsfeld,2020-05-07T21:30:00+02:00,135,117
Markt Indersdorf,2020-05-07T21:30:00+02:00,51,47
Odelzhausen,2020-05-07T21:30:00+02:00,19,17
Petershausen,2020-05-07T21:30:00+02:00,31,30
Pfaffenhofen a.d. Glonn,2020-05-07T21:30:00+02:00,8,7
Röhrmoos,2020-05-07T21:30:00+02:00,115,100
Schwabhausen,2020-05-07T21:30:00+02:00,29,23
Sulzemoos,2020-05-07T21:30:00+02:00,12,11
Vierkirchen,2020-05-07T21:30:00+02:00,28,15
Weichs,2020-05-07T21:30:00+02:00,17,11
