Kommune,Timestamp,Recovered
Altomünster,2022-01-24T21:14:40+01:00,768
Bergkirchen,2022-01-24T21:14:40+01:00,741
Dachau,2022-01-24T21:14:40+01:00,5499
Erdweg,2022-01-24T21:14:40+01:00,588
Haimhausen,2022-01-24T21:14:40+01:00,507
Hebertshausen,2022-01-24T21:14:40+01:00,492
Hilgertshausen-Tandern,2022-01-24T21:14:40+01:00,300
Karlsfeld,2022-01-24T21:14:40+01:00,2717
Markt Indersdorf,2022-01-24T21:14:40+01:00,1077
Odelzhausen,2022-01-24T21:14:40+01:00,555
Petershausen,2022-01-24T21:14:40+01:00,612
Pfaffenhofen a.d. Glonn,2022-01-24T21:14:40+01:00,221
Röhrmoos,2022-01-24T21:14:40+01:00,750
Schwabhausen,2022-01-24T21:14:40+01:00,717
Sulzemoos,2022-01-24T21:14:40+01:00,289
Vierkirchen,2022-01-24T21:14:40+01:00,455
Weichs,2022-01-24T21:14:40+01:00,417
