Kommune,Timestamp,Recovered
Altomünster,2022-01-13T21:12:40+01:00,736
Bergkirchen,2022-01-13T21:12:40+01:00,697
Dachau,2022-01-13T21:12:40+01:00,5164
Erdweg,2022-01-13T21:12:40+01:00,568
Haimhausen,2022-01-13T21:12:40+01:00,465
Hebertshausen,2022-01-13T21:12:40+01:00,472
Hilgertshausen-Tandern,2022-01-13T21:12:40+01:00,292
Karlsfeld,2022-01-13T21:12:40+01:00,2559
Markt Indersdorf,2022-01-13T21:12:40+01:00,1029
Odelzhausen,2022-01-13T21:12:40+01:00,527
Petershausen,2022-01-13T21:12:40+01:00,584
Pfaffenhofen a.d. Glonn,2022-01-13T21:12:40+01:00,203
Röhrmoos,2022-01-13T21:12:40+01:00,718
Schwabhausen,2022-01-13T21:12:40+01:00,677
Sulzemoos,2022-01-13T21:12:40+01:00,276
Vierkirchen,2022-01-13T21:12:40+01:00,442
Weichs,2022-01-13T21:12:40+01:00,410
