Kommune,Timestamp,Recovered
Altomünster,2021-08-23T21:13:18+02:00,412
Bergkirchen,2021-08-23T21:13:18+02:00,376
Dachau,2021-08-23T21:13:18+02:00,2592
Erdweg,2021-08-23T21:13:18+02:00,330
Haimhausen,2021-08-23T21:13:18+02:00,232
Hebertshausen,2021-08-23T21:13:18+02:00,223
Hilgertshausen-Tandern,2021-08-23T21:13:18+02:00,151
Karlsfeld,2021-08-23T21:13:18+02:00,1432
Markt Indersdorf,2021-08-23T21:13:18+02:00,579
Odelzhausen,2021-08-23T21:13:18+02:00,249
Petershausen,2021-08-23T21:13:18+02:00,271
Pfaffenhofen a.d. Glonn,2021-08-23T21:13:18+02:00,96
Röhrmoos,2021-08-23T21:13:18+02:00,411
Schwabhausen,2021-08-23T21:13:18+02:00,318
Sulzemoos,2021-08-23T21:13:18+02:00,133
Vierkirchen,2021-08-23T21:13:18+02:00,247
Weichs,2021-08-23T21:13:18+02:00,182
