Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-03-01T17:13:24+01:00,283,277
Bergkirchen,2021-03-01T17:13:24+01:00,252,241
Dachau,2021-03-01T17:13:24+01:00,1846,1807
Erdweg,2021-03-01T17:13:24+01:00,215,199
Haimhausen,2021-03-01T17:13:24+01:00,172,170
Hebertshausen,2021-03-01T17:13:24+01:00,126,124
Hilgertshausen-Tandern,2021-03-01T17:13:24+01:00,96,89
Karlsfeld,2021-03-01T17:13:24+01:00,1100,1054
Markt Indersdorf,2021-03-01T17:13:24+01:00,366,345
Odelzhausen,2021-03-01T17:13:24+01:00,167,162
Petershausen,2021-03-01T17:13:24+01:00,141,134
Pfaffenhofen a.d. Glonn,2021-03-01T17:13:24+01:00,74,72
Röhrmoos,2021-03-01T17:13:24+01:00,333,313
Schwabhausen,2021-03-01T17:13:24+01:00,214,210
Sulzemoos,2021-03-01T17:13:24+01:00,95,94
Vierkirchen,2021-03-01T17:13:24+01:00,145,140
Weichs,2021-03-01T17:13:24+01:00,160,137
