Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-02-08T17:15:19+01:00,278,264
Bergkirchen,2021-02-08T17:15:19+01:00,241,217
Dachau,2021-02-08T17:15:19+01:00,1803,1725
Erdweg,2021-02-08T17:15:19+01:00,187,184
Haimhausen,2021-02-08T17:15:19+01:00,169,166
Hebertshausen,2021-02-08T17:15:19+01:00,125,117
Hilgertshausen-Tandern,2021-02-08T17:15:19+01:00,88,82
Karlsfeld,2021-02-08T17:15:19+01:00,1081,1002
Markt Indersdorf,2021-02-08T17:15:19+01:00,354,317
Odelzhausen,2021-02-08T17:15:19+01:00,146,138
Petershausen,2021-02-08T17:15:19+01:00,132,113
Pfaffenhofen a.d. Glonn,2021-02-08T17:15:19+01:00,68,62
Röhrmoos,2021-02-08T17:15:19+01:00,323,296
Schwabhausen,2021-02-08T17:15:19+01:00,210,203
Sulzemoos,2021-02-08T17:15:19+01:00,95,88
Vierkirchen,2021-02-08T17:15:19+01:00,143,138
Weichs,2021-02-08T17:15:19+01:00,155,97
