Kommune,Timestamp,Confirmed
Aschheim,2021-05-25T14:00:00+02:00,443
Aying,2021-05-25T14:00:00+02:00,193
Baierbrunn,2021-05-25T14:00:00+02:00,125
Brunnthal,2021-05-25T14:00:00+02:00,173
Feldkirchen,2021-05-25T14:00:00+02:00,252
Garching b. München,2021-05-25T14:00:00+02:00,838
Gräfelfing,2021-05-25T14:00:00+02:00,540
Grasbrunn,2021-05-25T14:00:00+02:00,209
Grünwald,2021-05-25T14:00:00+02:00,500
Haar,2021-05-25T14:00:00+02:00,1438
Hohenbrunn,2021-05-25T14:00:00+02:00,252
Höhenkirchen-Siegertsbrunn,2021-05-25T14:00:00+02:00,401
Ismaning,2021-05-25T14:00:00+02:00,666
Kirchheim b. München,2021-05-25T14:00:00+02:00,427
Neubiberg,2021-05-25T14:00:00+02:00,552
Neuried,2021-05-25T14:00:00+02:00,315
Oberhaching,2021-05-25T14:00:00+02:00,620
Oberschleißheim,2021-05-25T14:00:00+02:00,543
Ottobrunn,2021-05-25T14:00:00+02:00,1017
Planegg,2021-05-25T14:00:00+02:00,445
Pullach im Isartal,2021-05-25T14:00:00+02:00,477
Putzbrunn,2021-05-25T14:00:00+02:00,292
Sauerlach,2021-05-25T14:00:00+02:00,247
Schäftlarn,2021-05-25T14:00:00+02:00,192
Straßlach-Dingharting,2021-05-25T14:00:00+02:00,104
Taufkirchen,2021-05-25T14:00:00+02:00,882
Unterföhring,2021-05-25T14:00:00+02:00,486
Unterhaching,2021-05-25T14:00:00+02:00,983
Unterschleißheim,2021-05-25T14:00:00+02:00,1393
