Kommune,Timestamp,Confirmed
Aschheim,2021-05-28T09:00:00+02:00,444
Aying,2021-05-28T09:00:00+02:00,193
Baierbrunn,2021-05-28T09:00:00+02:00,125
Brunnthal,2021-05-28T09:00:00+02:00,174
Feldkirchen,2021-05-28T09:00:00+02:00,250
Garching b. München,2021-05-28T09:00:00+02:00,838
Gräfelfing,2021-05-28T09:00:00+02:00,542
Grasbrunn,2021-05-28T09:00:00+02:00,209
Grünwald,2021-05-28T09:00:00+02:00,501
Haar,2021-05-28T09:00:00+02:00,1446
Hohenbrunn,2021-05-28T09:00:00+02:00,252
Höhenkirchen-Siegertsbrunn,2021-05-28T09:00:00+02:00,406
Ismaning,2021-05-28T09:00:00+02:00,666
Kirchheim b. München,2021-05-28T09:00:00+02:00,427
Neubiberg,2021-05-28T09:00:00+02:00,554
Neuried,2021-05-28T09:00:00+02:00,318
Oberhaching,2021-05-28T09:00:00+02:00,621
Oberschleißheim,2021-05-28T09:00:00+02:00,543
Ottobrunn,2021-05-28T09:00:00+02:00,1023
Planegg,2021-05-28T09:00:00+02:00,444
Pullach im Isartal,2021-05-28T09:00:00+02:00,477
Putzbrunn,2021-05-28T09:00:00+02:00,292
Sauerlach,2021-05-28T09:00:00+02:00,247
Schäftlarn,2021-05-28T09:00:00+02:00,192
Straßlach-Dingharting,2021-05-28T09:00:00+02:00,104
Taufkirchen,2021-05-28T09:00:00+02:00,885
Unterföhring,2021-05-28T09:00:00+02:00,489
Unterhaching,2021-05-28T09:00:00+02:00,984
Unterschleißheim,2021-05-28T09:00:00+02:00,1396
