Kommune,Timestamp,Confirmed
Aschheim,2020-12-01T14:00:00+01:00,183
Aying,2020-12-01T14:00:00+01:00,85
Baierbrunn,2020-12-01T14:00:00+01:00,57
Brunnthal,2020-12-01T14:00:00+01:00,57
Feldkirchen,2020-12-01T14:00:00+01:00,88
Garching b. München,2020-12-01T14:00:00+01:00,314
Gräfelfing,2020-12-01T14:00:00+01:00,233
Grasbrunn,2020-12-01T14:00:00+01:00,91
Grünwald,2020-12-01T14:00:00+01:00,229
Haar,2020-12-01T14:00:00+01:00,550
Hohenbrunn,2020-12-01T14:00:00+01:00,118
Höhenkirchen-Siegertsbrunn,2020-12-01T14:00:00+01:00,164
Ismaning,2020-12-01T14:00:00+01:00,358
Kirchheim b. München,2020-12-01T14:00:00+01:00,174
Neubiberg,2020-12-01T14:00:00+01:00,207
Neuried,2020-12-01T14:00:00+01:00,150
Oberhaching,2020-12-01T14:00:00+01:00,262
Oberschleißheim,2020-12-01T14:00:00+01:00,219
Ottobrunn,2020-12-01T14:00:00+01:00,402
Planegg,2020-12-01T14:00:00+01:00,201
Pullach im Isartal,2020-12-01T14:00:00+01:00,151
Putzbrunn,2020-12-01T14:00:00+01:00,90
Sauerlach,2020-12-01T14:00:00+01:00,85
Schäftlarn,2020-12-01T14:00:00+01:00,56
Straßlach-Dingharting,2020-12-01T14:00:00+01:00,25
Taufkirchen,2020-12-01T14:00:00+01:00,319
Unterföhring,2020-12-01T14:00:00+01:00,166
Unterhaching,2020-12-01T14:00:00+01:00,508
Unterschleißheim,2020-12-01T14:00:00+01:00,522
