Kommune,Timestamp,Confirmed
Aschheim,2020-12-10T14:20:00+01:00,211
Aying,2020-12-10T14:20:00+01:00,95
Baierbrunn,2020-12-10T14:20:00+01:00,59
Brunnthal,2020-12-10T14:20:00+01:00,63
Feldkirchen,2020-12-10T14:20:00+01:00,104
Garching b. München,2020-12-10T14:20:00+01:00,343
Gräfelfing,2020-12-10T14:20:00+01:00,260
Grasbrunn,2020-12-10T14:20:00+01:00,105
Grünwald,2020-12-10T14:20:00+01:00,245
Haar,2020-12-10T14:20:00+01:00,637
Hohenbrunn,2020-12-10T14:20:00+01:00,121
Höhenkirchen-Siegertsbrunn,2020-12-10T14:20:00+01:00,179
Ismaning,2020-12-10T14:20:00+01:00,385
Kirchheim b. München,2020-12-10T14:20:00+01:00,195
Neubiberg,2020-12-10T14:20:00+01:00,227
Neuried,2020-12-10T14:20:00+01:00,153
Oberhaching,2020-12-10T14:20:00+01:00,286
Oberschleißheim,2020-12-10T14:20:00+01:00,242
Ottobrunn,2020-12-10T14:20:00+01:00,446
Planegg,2020-12-10T14:20:00+01:00,218
Pullach im Isartal,2020-12-10T14:20:00+01:00,174
Putzbrunn,2020-12-10T14:20:00+01:00,95
Sauerlach,2020-12-10T14:20:00+01:00,104
Schäftlarn,2020-12-10T14:20:00+01:00,62
Straßlach-Dingharting,2020-12-10T14:20:00+01:00,28
Taufkirchen,2020-12-10T14:20:00+01:00,387
Unterföhring,2020-12-10T14:20:00+01:00,186
Unterhaching,2020-12-10T14:20:00+01:00,553
Unterschleißheim,2020-12-10T14:20:00+01:00,601
