Kommune,Timestamp,Confirmed
Aschheim,2021-05-16T16:00:00+02:00,438
Aying,2021-05-16T16:00:00+02:00,192
Baierbrunn,2021-05-16T16:00:00+02:00,125
Brunnthal,2021-05-16T16:00:00+02:00,171
Feldkirchen,2021-05-16T16:00:00+02:00,248
Garching b. München,2021-05-16T16:00:00+02:00,827
Gräfelfing,2021-05-16T16:00:00+02:00,540
Grasbrunn,2021-05-16T16:00:00+02:00,210
Grünwald,2021-05-16T16:00:00+02:00,496
Haar,2021-05-16T16:00:00+02:00,1424
Hohenbrunn,2021-05-16T16:00:00+02:00,252
Höhenkirchen-Siegertsbrunn,2021-05-16T16:00:00+02:00,398
Ismaning,2021-05-16T16:00:00+02:00,665
Kirchheim b. München,2021-05-16T16:00:00+02:00,421
Neubiberg,2021-05-16T16:00:00+02:00,545
Neuried,2021-05-16T16:00:00+02:00,309
Oberhaching,2021-05-16T16:00:00+02:00,618
Oberschleißheim,2021-05-16T16:00:00+02:00,538
Ottobrunn,2021-05-16T16:00:00+02:00,995
Planegg,2021-05-16T16:00:00+02:00,440
Pullach im Isartal,2021-05-16T16:00:00+02:00,475
Putzbrunn,2021-05-16T16:00:00+02:00,288
Sauerlach,2021-05-16T16:00:00+02:00,246
Schäftlarn,2021-05-16T16:00:00+02:00,188
Straßlach-Dingharting,2021-05-16T16:00:00+02:00,104
Taufkirchen,2021-05-16T16:00:00+02:00,868
Unterföhring,2021-05-16T16:00:00+02:00,478
Unterhaching,2021-05-16T16:00:00+02:00,978
Unterschleißheim,2021-05-16T16:00:00+02:00,1374
