Kommune,Timestamp,Confirmed
Aschheim,2020-12-03T14:00:00+01:00,186
Aying,2020-12-03T14:00:00+01:00,86
Baierbrunn,2020-12-03T14:00:00+01:00,57
Brunnthal,2020-12-03T14:00:00+01:00,58
Feldkirchen,2020-12-03T14:00:00+01:00,89
Garching b. München,2020-12-03T14:00:00+01:00,320
Gräfelfing,2020-12-03T14:00:00+01:00,242
Grasbrunn,2020-12-03T14:00:00+01:00,95
Grünwald,2020-12-03T14:00:00+01:00,231
Haar,2020-12-03T14:00:00+01:00,566
Hohenbrunn,2020-12-03T14:00:00+01:00,118
Höhenkirchen-Siegertsbrunn,2020-12-03T14:00:00+01:00,168
Ismaning,2020-12-03T14:00:00+01:00,371
Kirchheim b. München,2020-12-03T14:00:00+01:00,175
Neubiberg,2020-12-03T14:00:00+01:00,211
Neuried,2020-12-03T14:00:00+01:00,152
Oberhaching,2020-12-03T14:00:00+01:00,266
Oberschleißheim,2020-12-03T14:00:00+01:00,223
Ottobrunn,2020-12-03T14:00:00+01:00,410
Planegg,2020-12-03T14:00:00+01:00,205
Pullach im Isartal,2020-12-03T14:00:00+01:00,157
Putzbrunn,2020-12-03T14:00:00+01:00,91
Sauerlach,2020-12-03T14:00:00+01:00,89
Schäftlarn,2020-12-03T14:00:00+01:00,57
Straßlach-Dingharting,2020-12-03T14:00:00+01:00,26
Taufkirchen,2020-12-03T14:00:00+01:00,336
Unterföhring,2020-12-03T14:00:00+01:00,170
Unterhaching,2020-12-03T14:00:00+01:00,513
Unterschleißheim,2020-12-03T14:00:00+01:00,535
