Kommune,Timestamp,Confirmed
Aschheim,2021-05-18T01:00:00+02:00,440
Aying,2021-05-18T01:00:00+02:00,192
Baierbrunn,2021-05-18T01:00:00+02:00,125
Brunnthal,2021-05-18T01:00:00+02:00,171
Feldkirchen,2021-05-18T01:00:00+02:00,250
Garching b. München,2021-05-18T01:00:00+02:00,830
Gräfelfing,2021-05-18T01:00:00+02:00,540
Grasbrunn,2021-05-18T01:00:00+02:00,209
Grünwald,2021-05-18T01:00:00+02:00,498
Haar,2021-05-18T01:00:00+02:00,1425
Hohenbrunn,2021-05-18T01:00:00+02:00,252
Höhenkirchen-Siegertsbrunn,2021-05-18T01:00:00+02:00,399
Ismaning,2021-05-18T01:00:00+02:00,665
Kirchheim b. München,2021-05-18T01:00:00+02:00,423
Neubiberg,2021-05-18T01:00:00+02:00,547
Neuried,2021-05-18T01:00:00+02:00,312
Oberhaching,2021-05-18T01:00:00+02:00,618
Oberschleißheim,2021-05-18T01:00:00+02:00,537
Ottobrunn,2021-05-18T01:00:00+02:00,1007
Planegg,2021-05-18T01:00:00+02:00,442
Pullach im Isartal,2021-05-18T01:00:00+02:00,477
Putzbrunn,2021-05-18T01:00:00+02:00,291
Sauerlach,2021-05-18T01:00:00+02:00,246
Schäftlarn,2021-05-18T01:00:00+02:00,190
Straßlach-Dingharting,2021-05-18T01:00:00+02:00,104
Taufkirchen,2021-05-18T01:00:00+02:00,872
Unterföhring,2021-05-18T01:00:00+02:00,478
Unterhaching,2021-05-18T01:00:00+02:00,979
Unterschleißheim,2021-05-18T01:00:00+02:00,1383
