Kommune,Timestamp,Confirmed
Aschheim,2020-11-18T14:30:00+01:00,128
Aying,2020-11-18T14:30:00+01:00,71
Baierbrunn,2020-11-18T14:30:00+01:00,49
Brunnthal,2020-11-18T14:30:00+01:00,50
Feldkirchen,2020-11-18T14:30:00+01:00,76
Garching b. München,2020-11-18T14:30:00+01:00,257
Gräfelfing,2020-11-18T14:30:00+01:00,176
Grasbrunn,2020-11-18T14:30:00+01:00,69
Grünwald,2020-11-18T14:30:00+01:00,201
Haar,2020-11-18T14:30:00+01:00,444
Hohenbrunn,2020-11-18T14:30:00+01:00,99
Höhenkirchen-Siegertsbrunn,2020-11-18T14:30:00+01:00,137
Ismaning,2020-11-18T14:30:00+01:00,264
Kirchheim b. München,2020-11-18T14:30:00+01:00,151
Neubiberg,2020-11-18T14:30:00+01:00,172
Neuried,2020-11-18T14:30:00+01:00,117
Oberhaching,2020-11-18T14:30:00+01:00,232
Oberschleißheim,2020-11-18T14:30:00+01:00,171
Ottobrunn,2020-11-18T14:30:00+01:00,330
Planegg,2020-11-18T14:30:00+01:00,173
Pullach im Isartal,2020-11-18T14:30:00+01:00,135
Putzbrunn,2020-11-18T14:30:00+01:00,68
Sauerlach,2020-11-18T14:30:00+01:00,70
Schäftlarn,2020-11-18T14:30:00+01:00,44
Straßlach-Dingharting,2020-11-18T14:30:00+01:00,22
Taufkirchen,2020-11-18T14:30:00+01:00,258
Unterföhring,2020-11-18T14:30:00+01:00,137
Unterhaching,2020-11-18T14:30:00+01:00,415
Unterschleißheim,2020-11-18T14:30:00+01:00,440
