Kommune,Timestamp,Confirmed
Aschheim,2020-10-27T14:00:00+01:00,75
Aying,2020-10-27T14:00:00+01:00,51
Baierbrunn,2020-10-27T14:00:00+01:00,44
Brunnthal,2020-10-27T14:00:00+01:00,23
Feldkirchen,2020-10-27T14:00:00+01:00,34
Garching b. München,2020-10-27T14:00:00+01:00,149
Gräfelfing,2020-10-27T14:00:00+01:00,90
Grasbrunn,2020-10-27T14:00:00+01:00,41
Grünwald,2020-10-27T14:00:00+01:00,124
Haar,2020-10-27T14:00:00+01:00,258
Hohenbrunn,2020-10-27T14:00:00+01:00,50
Höhenkirchen-Siegertsbrunn,2020-10-27T14:00:00+01:00,69
Ismaning,2020-10-27T14:00:00+01:00,156
Kirchheim b. München,2020-10-27T14:00:00+01:00,92
Neubiberg,2020-10-27T14:00:00+01:00,103
Neuried,2020-10-27T14:00:00+01:00,62
Oberhaching,2020-10-27T14:00:00+01:00,138
Oberschleißheim,2020-10-27T14:00:00+01:00,95
Ottobrunn,2020-10-27T14:00:00+01:00,173
Planegg,2020-10-27T14:00:00+01:00,127
Pullach im Isartal,2020-10-27T14:00:00+01:00,68
Putzbrunn,2020-10-27T14:00:00+01:00,40
Sauerlach,2020-10-27T14:00:00+01:00,47
Schäftlarn,2020-10-27T14:00:00+01:00,32
Straßlach-Dingharting,2020-10-27T14:00:00+01:00,18
Taufkirchen,2020-10-27T14:00:00+01:00,155
Unterföhring,2020-10-27T14:00:00+01:00,80
Unterhaching,2020-10-27T14:00:00+01:00,291
Unterschleißheim,2020-10-27T14:00:00+01:00,247
