Kommune,Timestamp,Confirmed
Aschheim,2020-10-20T14:00:00+02:00,59
Aying,2020-10-20T14:00:00+02:00,43
Baierbrunn,2020-10-20T14:00:00+02:00,44
Brunnthal,2020-10-20T14:00:00+02:00,19
Feldkirchen,2020-10-20T14:00:00+02:00,29
Garching b. München,2020-10-20T14:00:00+02:00,133
Gräfelfing,2020-10-20T14:00:00+02:00,81
Grasbrunn,2020-10-20T14:00:00+02:00,30
Grünwald,2020-10-20T14:00:00+02:00,110
Haar,2020-10-20T14:00:00+02:00,196
Hohenbrunn,2020-10-20T14:00:00+02:00,41
Höhenkirchen-Siegertsbrunn,2020-10-20T14:00:00+02:00,60
Ismaning,2020-10-20T14:00:00+02:00,134
Kirchheim b. München,2020-10-20T14:00:00+02:00,76
Neubiberg,2020-10-20T14:00:00+02:00,85
Neuried,2020-10-20T14:00:00+02:00,54
Oberhaching,2020-10-20T14:00:00+02:00,117
Oberschleißheim,2020-10-20T14:00:00+02:00,76
Ottobrunn,2020-10-20T14:00:00+02:00,140
Planegg,2020-10-20T14:00:00+02:00,121
Pullach im Isartal,2020-10-20T14:00:00+02:00,56
Putzbrunn,2020-10-20T14:00:00+02:00,27
Sauerlach,2020-10-20T14:00:00+02:00,42
Schäftlarn,2020-10-20T14:00:00+02:00,26
Straßlach-Dingharting,2020-10-20T14:00:00+02:00,13
Taufkirchen,2020-10-20T14:00:00+02:00,122
Unterföhring,2020-10-20T14:00:00+02:00,71
Unterhaching,2020-10-20T14:00:00+02:00,244
Unterschleißheim,2020-10-20T14:00:00+02:00,225
