Kommune,Timestamp,Confirmed
Aschheim,2021-12-15T00:00:00+01:00,840
Aying,2021-12-15T00:00:00+01:00,430
Baierbrunn,2021-12-15T00:00:00+01:00,242
Brunnthal,2021-12-15T00:00:00+01:00,385
Feldkirchen,2021-12-15T00:00:00+01:00,558
Garching b. München,2021-12-15T00:00:00+01:00,1537
Gräfelfing,2021-12-15T00:00:00+01:00,1072
Grasbrunn,2021-12-15T00:00:00+01:00,391
Grünwald,2021-12-15T00:00:00+01:00,873
Haar,2021-12-15T00:00:00+01:00,2263
Hohenbrunn,2021-12-15T00:00:00+01:00,549
Höhenkirchen-Siegertsbrunn,2021-12-15T00:00:00+01:00,873
Ismaning,2021-12-15T00:00:00+01:00,1271
Kirchheim b. München,2021-12-15T00:00:00+01:00,842
Neubiberg,2021-12-15T00:00:00+01:00,1016
Neuried,2021-12-15T00:00:00+01:00,586
Oberhaching,2021-12-15T00:00:00+01:00,1035
Oberschleißheim,2021-12-15T00:00:00+01:00,988
Ottobrunn,2021-12-15T00:00:00+01:00,1869
Planegg,2021-12-15T00:00:00+01:00,786
Pullach im Isartal,2021-12-15T00:00:00+01:00,727
Putzbrunn,2021-12-15T00:00:00+01:00,520
Sauerlach,2021-12-15T00:00:00+01:00,616
Schäftlarn,2021-12-15T00:00:00+01:00,421
Straßlach-Dingharting,2021-12-15T00:00:00+01:00,223
Taufkirchen,2021-12-15T00:00:00+01:00,1548
Unterföhring,2021-12-15T00:00:00+01:00,751
Unterhaching,2021-12-15T00:00:00+01:00,1814
Unterschleißheim,2021-12-15T00:00:00+01:00,2511
