Kommune,Timestamp,Confirmed
Aschheim,2020-09-29T14:30:00+02:00,54
Aying,2020-09-29T14:30:00+02:00,39
Baierbrunn,2020-09-29T14:30:00+02:00,21
Brunnthal,2020-09-29T14:30:00+02:00,18
Feldkirchen,2020-09-29T14:30:00+02:00,24
Garching b. München,2020-09-29T14:30:00+02:00,112
Gräfelfing,2020-09-29T14:30:00+02:00,75
Grasbrunn,2020-09-29T14:30:00+02:00,27
Grünwald,2020-09-29T14:30:00+02:00,84
Haar,2020-09-29T14:30:00+02:00,144
Hohenbrunn,2020-09-29T14:30:00+02:00,37
Höhenkirchen-Siegertsbrunn,2020-09-29T14:30:00+02:00,53
Ismaning,2020-09-29T14:30:00+02:00,115
Kirchheim b. München,2020-09-29T14:30:00+02:00,68
Neubiberg,2020-09-29T14:30:00+02:00,71
Neuried,2020-09-29T14:30:00+02:00,49
Oberhaching,2020-09-29T14:30:00+02:00,98
Oberschleißheim,2020-09-29T14:30:00+02:00,63
Ottobrunn,2020-09-29T14:30:00+02:00,116
Planegg,2020-09-29T14:30:00+02:00,107
Pullach im Isartal,2020-09-29T14:30:00+02:00,47
Putzbrunn,2020-09-29T14:30:00+02:00,23
Sauerlach,2020-09-29T14:30:00+02:00,33
Schäftlarn,2020-09-29T14:30:00+02:00,23
Straßlach-Dingharting,2020-09-29T14:30:00+02:00,12
Taufkirchen,2020-09-29T14:30:00+02:00,107
Unterföhring,2020-09-29T14:30:00+02:00,57
Unterhaching,2020-09-29T14:30:00+02:00,212
Unterschleißheim,2020-09-29T14:30:00+02:00,192
