Kommune,Timestamp,Confirmed
Aschheim,2020-09-09T14:20:00+02:00,51
Aying,2020-09-09T14:20:00+02:00,36
Baierbrunn,2020-09-09T14:20:00+02:00,17
Brunnthal,2020-09-09T14:20:00+02:00,14
Feldkirchen,2020-09-09T14:20:00+02:00,18
Garching b. München,2020-09-09T14:20:00+02:00,106
Gräfelfing,2020-09-09T14:20:00+02:00,68
Grasbrunn,2020-09-09T14:20:00+02:00,25
Grünwald,2020-09-09T14:20:00+02:00,66
Haar,2020-09-09T14:20:00+02:00,117
Hohenbrunn,2020-09-09T14:20:00+02:00,33
Höhenkirchen-Siegertsbrunn,2020-09-09T14:20:00+02:00,44
Ismaning,2020-09-09T14:20:00+02:00,103
Kirchheim b. München,2020-09-09T14:20:00+02:00,60
Neubiberg,2020-09-09T14:20:00+02:00,61
Neuried,2020-09-09T14:20:00+02:00,42
Oberhaching,2020-09-09T14:20:00+02:00,90
Oberschleißheim,2020-09-09T14:20:00+02:00,53
Ottobrunn,2020-09-09T14:20:00+02:00,94
Planegg,2020-09-09T14:20:00+02:00,103
Pullach im Isartal,2020-09-09T14:20:00+02:00,42
Putzbrunn,2020-09-09T14:20:00+02:00,17
Sauerlach,2020-09-09T14:20:00+02:00,28
Schäftlarn,2020-09-09T14:20:00+02:00,22
Straßlach-Dingharting,2020-09-09T14:20:00+02:00,11
Taufkirchen,2020-09-09T14:20:00+02:00,87
Unterföhring,2020-09-09T14:20:00+02:00,49
Unterhaching,2020-09-09T14:20:00+02:00,193
Unterschleißheim,2020-09-09T14:20:00+02:00,177
