Code,UTLA,Region,Timestamp,Confirmed,Deaths,Backdated
E06000001,Hartlepool,North East,2020-11-02 23:59:00+00:00,2444,102,C
E06000002,Middlesbrough,North East,2020-11-02 23:59:00+00:00,3739,183,C
E06000003,Redcar and Cleveland,North East,2020-11-02 23:59:00+00:00,2722,122,C
E06000004,Stockton-on-Tees,North East,2020-11-02 23:59:00+00:00,4929,153,C
E06000005,Darlington,North East,2020-11-02 23:59:00+00:00,2151,101,C
E06000006,Halton,North West,2020-11-02 23:59:00+00:00,3633,133,C
E06000007,Warrington,North West,2020-11-02 23:59:00+00:00,6325,202,C
E06000008,Blackburn with Darwen,North West,2020-11-02 23:59:00+00:00,6863,116,C
E06000009,Blackpool,North West,2020-11-02 23:59:00+00:00,3895,166,C
E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,2020-11-02 23:59:00+00:00,4674,211,C
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,2020-11-02 23:59:00+00:00,5463,264,C
E06000012,North East Lincolnshire,Yorkshire and The Humber,2020-11-02 23:59:00+00:00,2444,52,C
E06000013,North Lincolnshire,Yorkshire and The Humber,2020-11-02 23:59:00+00:00,2466,98,C
E06000014,York,Yorkshire and The Humber,2020-11-02 23:59:00+00:00,3882,112,C
E06000015,Derby,East Midlands,2020-11-02 23:59:00+00:00,4608,245,C
E06000016,Leicester,East Midlands,2020-11-02 23:59:00+00:00,11511,293,C
E06000017,Rutland,East Midlands,2020-11-02 23:59:00+00:00,344,15,C
E06000018,Nottingham,East Midlands,2020-11-02 23:59:00+00:00,11921,228,C
E06000019,"Herefordshire, County of",West Midlands,2020-11-02 23:59:00+00:00,1565,107,C
E06000020,Telford and Wrekin,West Midlands,2020-11-02 23:59:00+00:00,2220,85,C
E06000021,Stoke-on-Trent,West Midlands,2020-11-02 23:59:00+00:00,4762,177,C
E06000022,Bath and North East Somerset,South West,2020-11-02 23:59:00+00:00,1969,46,C
E06000023,"Bristol, City of",South West,2020-11-02 23:59:00+00:00,7474,152,C
E06000024,North Somerset,South West,2020-11-02 23:59:00+00:00,2183,120,C
E06000025,South Gloucestershire,South West,2020-11-02 23:59:00+00:00,3165,124,C
E06000026,Plymouth,South West,2020-11-02 23:59:00+00:00,2310,88,C
E06000027,Torbay,South West,2020-11-02 23:59:00+00:00,1085,66,C
E06000030,Swindon,South West,2020-11-02 23:59:00+00:00,2365,113,C
E06000031,Peterborough,East of England,2020-11-02 23:59:00+00:00,2871,101,C
E06000032,Luton,East of England,2020-11-02 23:59:00+00:00,3564,192,C
E06000033,Southend-on-Sea,East of England,2020-11-02 23:59:00+00:00,1529,164,C
E06000034,Thurrock,East of England,2020-11-02 23:59:00+00:00,1686,154,C
E06000035,Medway,South East,2020-11-02 23:59:00+00:00,2196,176,C
E06000036,Bracknell Forest,South East,2020-11-02 23:59:00+00:00,964,58,C
E06000037,West Berkshire,South East,2020-11-02 23:59:00+00:00,1134,76,C
E06000038,Reading,South East,2020-11-02 23:59:00+00:00,1748,125,C
E06000039,Slough,South East,2020-11-02 23:59:00+00:00,2073,89,C
E06000040,Windsor and Maidenhead,South East,2020-11-02 23:59:00+00:00,1608,82,C
E06000041,Wokingham,South East,2020-11-02 23:59:00+00:00,1386,102,C
E06000042,Milton Keynes,South East,2020-11-02 23:59:00+00:00,2220,106,C
E06000043,Brighton and Hove,South East,2020-11-02 23:59:00+00:00,2611,110,C
E06000044,Portsmouth,South East,2020-11-02 23:59:00+00:00,2156,80,C
E06000045,Southampton,South East,2020-11-02 23:59:00+00:00,2331,129,C
E06000046,Isle of Wight,South East,2020-11-02 23:59:00+00:00,657,76,C
E06000047,County Durham,North East,2020-11-02 23:59:00+00:00,12594,579,C
E06000049,Cheshire East,North West,2020-11-02 23:59:00+00:00,6455,386,C
E06000050,Cheshire West and Chester,North West,2020-11-02 23:59:00+00:00,6166,329,C
E06000051,Shropshire,West Midlands,2020-11-02 23:59:00+00:00,3533,209,C
E06000052,Cornwall and Isles of Scilly,South West,2020-11-02 23:59:00+00:00,2460,145,C
E06000054,Wiltshire,South West,2020-11-02 23:59:00+00:00,3327,216,C
E06000055,Bedford,East of England,2020-11-02 23:59:00+00:00,2449,174,C
E06000056,Central Bedfordshire,East of England,2020-11-02 23:59:00+00:00,2506,236,C
E06000057,Northumberland,North East,2020-11-02 23:59:00+00:00,5602,271,C
E06000058,"Bournemouth, Christchurch and Poole",South West,2020-11-02 23:59:00+00:00,4199,140,C
E06000059,Dorset,South West,2020-11-02 23:59:00+00:00,2183,112,C
E08000001,Bolton,North West,2020-11-02 23:59:00+00:00,11095,353,C
E08000002,Bury,North West,2020-11-02 23:59:00+00:00,6936,244,C
E08000003,Manchester,North West,2020-11-02 23:59:00+00:00,21353,445,C
E08000004,Oldham,North West,2020-11-02 23:59:00+00:00,10397,256,C
E08000005,Rochdale,North West,2020-11-02 23:59:00+00:00,8881,268,C
E08000006,Salford,North West,2020-11-02 23:59:00+00:00,9474,312,C
E08000007,Stockport,North West,2020-11-02 23:59:00+00:00,7728,314,C
E08000008,Tameside,North West,2020-11-02 23:59:00+00:00,7618,388,C
E08000009,Trafford,North West,2020-11-02 23:59:00+00:00,6640,238,C
E08000010,Wigan,North West,2020-11-02 23:59:00+00:00,11713,420,C
E08000011,Knowsley,North West,2020-11-02 23:59:00+00:00,6515,186,C
E08000012,Liverpool,North West,2020-11-02 23:59:00+00:00,19670,568,C
E08000013,St. Helens,North West,2020-11-02 23:59:00+00:00,5976,179,C
E08000014,Sefton,North West,2020-11-02 23:59:00+00:00,8392,318,C
E08000015,Wirral,North West,2020-11-02 23:59:00+00:00,8329,367,C
E08000016,Barnsley,Yorkshire and The Humber,2020-11-02 23:59:00+00:00,7363,273,C
E08000017,Doncaster,Yorkshire and The Humber,2020-11-02 23:59:00+00:00,8134,297,C
E08000018,Rotherham,Yorkshire and The Humber,2020-11-02 23:59:00+00:00,7859,307,C
E08000019,Sheffield,Yorkshire and The Humber,2020-11-02 23:59:00+00:00,18766,496,C
E08000021,Newcastle upon Tyne,North East,2020-11-02 23:59:00+00:00,9162,209,C
E08000022,North Tyneside,North East,2020-11-02 23:59:00+00:00,4355,126,C
E08000023,South Tyneside,North East,2020-11-02 23:59:00+00:00,3799,182,C
E08000024,Sunderland,North East,2020-11-02 23:59:00+00:00,7653,366,C
E08000025,Birmingham,West Midlands,2020-11-02 23:59:00+00:00,24533,1082,C
E08000026,Coventry,West Midlands,2020-11-02 23:59:00+00:00,5641,225,C
E08000027,Dudley,West Midlands,2020-11-02 23:59:00+00:00,4894,275,C
E08000028,Sandwell,West Midlands,2020-11-02 23:59:00+00:00,6947,359,C
E08000029,Solihull,West Midlands,2020-11-02 23:59:00+00:00,3803,220,C
E08000030,Walsall,West Midlands,2020-11-02 23:59:00+00:00,5589,323,C
E08000031,Wolverhampton,West Midlands,2020-11-02 23:59:00+00:00,4730,270,C
E08000032,Bradford,Yorkshire and The Humber,2020-11-02 23:59:00+00:00,20221,491,C
E08000033,Calderdale,Yorkshire and The Humber,2020-11-02 23:59:00+00:00,5046,129,C
