Code,Country,Timestamp,Confirmed
E92000001,England,2020-03-21T23:59:00+00:00,4257
N92000002,Northern Ireland,2020-03-21T23:59:00+00:00,108
S92000003,Scotland,2020-03-21T23:59:00+00:00,373
W92000004,Wales,2020-03-21T23:59:00+00:00,280
